pct_num,pct_name,hodges13_votes,winton13_votes,samuels13_votes,andrew13_votes,hodges13_pct,winton13_pct,samuels13_pct,andrew13_pct,mayor_13_total,hodges17_votes,frey17_votes,levy17_votes,dehn17_votes,hoch17_votes,hodges17_pct,frey17_pct,levy17_pct,dehn17_pct,hoch17_pct,mayor_17_total,murphy18_votes,swanson18_votes,walz18_votes,murphy18_pct,swanson18_pct,walz18_pct,gov_18_total,hilstrom18_votes,ellison18_votes,pelikan18_votes,rothman18_votes,foley18_votes,hilstrom18_pct,ellison18_pct,pelikan18_pct,rothman18_pct,foley18_pct,ag_18_total,omar18_votes,kelliher18_votes,ray18_votes,omar18_pct,kelliher18_pct,ray18_pct,ush_18_total,sanders20_votes,warren20_votes,biden20_votes,bloomberg20_votes,sanders20_pct,warren20_pct,biden20_pct,bloomberg20_pct,pres_20_total,omar20_votes,omar20_pct,ush_20_total,frey21_votes,knuth21_votes,nezhad21_votes,frey21_pct,knuth21_pct,nezhad21_pct,mayor_21_total,yes1_votes,yes1_pct,structure_21_total,yes2_votes,yes2_pct,police_21_total,yes3_votes,yes3_pct,rent_21_total
1915,MINNEAPOLIS W-12 P-03,396.0,102.0,105.0,306.0,36.43,9.38,9.66,28.15,1087.0,274.0,314.0,208.0,199.0,268.0,20.77,23.81,15.77,15.09,20.32,1319.0,608.0,151.0,539.0,46.55,11.56,41.27,1411.0,134.0,785.0,160.0,135.0,56.0,10.55,61.81,12.6,10.63,4.41,1367.0,587.0,352.0,308.0,45.19,27.1,23.71,1391.0,547,467,449,70,34.14,29.15,28.03,4.37,1648,976,62.64,1646,857,453,341,43.72,23.11,17.4,1960,1058,54.48,1942,827,42.04,1967,1023,52.6,1945
1920,MINNEAPOLIS W-12 P-04,202.0,46.0,45.0,127.0,38.4,8.75,8.56,24.14,525.0,128.0,138.0,124.0,119.0,113.0,19.57,21.1,18.96,18.2,17.28,654.0,289.0,65.0,220.0,49.91,11.23,38.0,624.0,59.0,342.0,81.0,45.0,36.0,10.48,60.75,14.39,7.99,6.39,605.0,261.0,132.0,160.0,45.39,22.96,27.83,611.0,261,254,227,41,32.06,31.2,27.89,5.04,833,496,63.84,817,398,255,145,40.95,26.23,14.92,972,503,51.75,972,441,44.95,981,498,50.92,978
1925,MINNEAPOLIS W-12 P-05,491.0,144.0,97.0,331.0,39.0,11.44,7.7,26.29,1259.0,198.0,241.0,134.0,149.0,179.0,21.2,25.8,14.35,15.95,19.16,934.0,369.0,102.0,351.0,44.46,12.29,42.29,895.0,69.0,490.0,120.0,76.0,51.0,8.56,60.79,14.89,9.43,6.33,863.0,377.0,191.0,230.0,45.53,23.07,27.78,883.0,264,351,290,44,26.51,35.24,29.12,4.42,1012,627,62.45,1059,565,334,221,43.83,25.91,17.15,1289,690,54.59,1264,562,43.46,1293,638,50.0,1276
1930,MINNEAPOLIS W-12 P-06,416.0,135.0,103.0,294.0,35.92,11.66,8.89,25.39,1154.0,144.0,197.0,106.0,105.0,125.0,20.17,27.59,14.85,14.71,17.51,714.0,307.0,115.0,275.0,43.92,16.45,39.34,784.0,86.0,408.0,79.0,56.0,53.0,12.61,59.82,11.58,8.21,7.77,758.0,292.0,190.0,193.0,42.2,27.46,27.89,761.0,224,220,267,44,28.32,27.81,33.75,5.56,823,464,54.46,903,538,219,184,47.03,19.14,16.08,1144,594,52.71,1127,462,40.31,1146,519,45.81,1133
1935,MINNEAPOLIS W-12 P-07,2.0,2.0,3.0,10.0,3.85,3.85,5.77,19.23,51.0,14.0,4.0,1.0,3.0,3.0,35.9,10.26,2.56,7.69,7.69,39.0,3.0,11.0,11.0,10.34,37.93,37.93,44.0,3.0,19.0,1.0,3.0,2.0,10.71,67.86,3.57,10.71,7.14,43.0,4.0,12.0,6.0,14.81,44.44,22.22,36.0,5,3,15,10,10.87,6.52,32.61,21.74,64,14,34.15,61,25,0,0,60.98,0.0,0.0,41,24,63.16,38,14,37.84,37,16,44.44,36
1940,MINNEAPOLIS W-12 P-08,661.0,133.0,130.0,280.0,45.4,9.13,8.93,19.23,1450.0,91.0,118.0,125.0,147.0,81.0,15.74,20.42,21.63,25.43,14.01,578.0,300.0,47.0,189.0,54.95,8.61,34.62,584.0,59.0,317.0,86.0,41.0,33.0,11.01,59.14,16.04,7.65,6.16,569.0,322.0,61.0,144.0,59.08,11.19,26.42,573.0,316,210,137,13,45.86,30.48,19.88,1.89,705,494,75.3,676,256,240,239,30.33,28.44,28.32,844,355,42.57,834,470,55.62,845,508,60.12,845
1945,MINNEAPOLIS W-12 P-09,232.0,88.0,52.0,127.0,37.66,14.29,8.44,20.62,613.0,155.0,191.0,141.0,142.0,125.0,19.42,23.93,17.67,17.79,15.66,798.0,363.0,85.0,288.0,48.53,11.36,38.5,807.0,91.0,469.0,112.0,39.0,26.0,12.35,63.64,15.2,5.29,3.53,793.0,401.0,124.0,175.0,54.34,16.8,23.71,787.0,372,303,197,24,40.0,32.58,21.18,2.58,955,607,68.13,946,419,282,242,35.97,24.21,20.77,1165,514,44.35,1159,586,50.26,1166,626,53.92,1161
1950,MINNEAPOLIS W-12 P-10,169.0,68.0,44.0,142.0,31.18,12.55,8.12,26.2,542.0,123.0,207.0,116.0,101.0,127.0,16.92,28.47,15.96,13.89,17.47,727.0,301.0,111.0,225.0,46.74,17.24,34.94,722.0,89.0,391.0,66.0,41.0,47.0,14.04,61.67,10.41,6.47,7.41,706.0,314.0,150.0,146.0,49.14,23.47,22.85,700.0,357,201,248,33,41.27,23.24,28.67,3.82,904,520,61.47,925,506,221,201,40.94,17.88,16.26,1236,601,49.06,1225,477,38.37,1243,596,48.3,1234
1955,MINNEAPOLIS W-12 P-11,,,,,,,,,,123.0,169.0,100.0,108.0,104.0,19.25,26.45,15.65,16.9,16.28,639.0,278.0,87.0,267.0,43.71,13.68,41.98,697.0,85.0,366.0,90.0,37.0,34.0,13.89,59.8,14.71,6.05,5.56,668.0,312.0,123.0,165.0,49.76,19.62,26.32,678.0,282,226,220,36,35.43,28.39,27.64,4.52,822,547,67.53,865,445,212,179,42.58,20.29,17.13,1045,527,50.67,1040,445,42.42,1049,534,51.25,1042
1956,MINNEAPOLIS W-12 P-12,,,,,,,,,,238.0,274.0,210.0,259.0,193.0,19.09,21.97,16.84,20.77,15.48,1247.0,604.0,146.0,422.0,51.27,12.39,35.82,1247.0,113.0,732.0,158.0,77.0,83.0,9.72,62.94,13.59,6.62,7.14,1227.0,607.0,224.0,281.0,51.7,19.08,23.94,1233.0,586,487,296,67,38.68,32.15,19.54,4.42,1555,1003,66.73,1562,694,437,511,36.09,22.72,26.57,1923,875,45.93,1905,986,50.88,1938,1097,57.25,1916
