pct_num,pct_name,hodges13_votes,winton13_votes,samuels13_votes,andrew13_votes,hodges13_pct,winton13_pct,samuels13_pct,andrew13_pct,hodges17_votes,frey17_votes,levy17_votes,dehn17_votes,hoch17_votes,hodges17_pct,frey17_pct,levy17_pct,dehn17_pct,hoch17_pct,murphy18_votes,swanson18_votes,walz18_votes,murphy18_pct,swanson18_pct,walz18_pct,hilstrom18_votes,ellison18_votes,pelikan18_votes,rothman18_votes,foley18_votes,hilstrom18_pct,ellison18_pct,pelikan18_pct,rothman18_pct,foley18_pct,omar18_votes,kelliher18_votes,ray18_votes,omar18_pct,kelliher18_pct,ray18_pct,sanders20_votes,warren20_votes,biden20_votes,bloomberg20_votes,sanders20_pct,warren20_pct,biden20_pct,bloomberg20_pct,omar20_votes,melton20_votes,omar20_pct,melton20_pct,frey21_votes,knuth21_votes,nezhad21_votes,frey21_pct,knuth21_pct,nezhad21_pct,yes1_votes,no1_votes,yes1_pct,no1_pct,yes2_votes,no2_votes,yes2_pct,no2_pct,yes3_votes,no3_votes,yes3_pct,no3_pct
1660,MINNEAPOLIS W-7 P-04D,319.0,152.0,58.0,207.0,37.75,17.99,6.86,24.5,150.0,319.0,80.0,85.0,382.0,14.38,30.58,7.67,8.15,36.63,296.0,145.0,523.0,30.45,14.92,53.81,116.0,479.0,103.0,163.0,97.0,12.11,50.0,10.75,17.01,10.13,291.0,554.0,78.0,30.34,57.77,8.13,296,238,539,112,23.05,18.54,41.98,8.72,827,466,62.65,35.3,963,179,124,62.25,11.57,8.02,410,1121,26.78,73.22,1187,369,76.29,23.71,1051,485,68.42,31.58
1665,MINNEAPOLIS W-7 P-05,206.0,41.0,49.0,138.0,38.58,7.68,9.18,25.84,125.0,238.0,148.0,144.0,240.0,13.38,25.48,15.85,15.42,25.7,395.0,135.0,294.0,47.31,16.17,35.21,128.0,450.0,127.0,65.0,55.0,15.52,54.55,15.39,7.88,6.67,461.0,257.0,65.0,55.61,31.0,7.84,614,240,277,70,48.92,19.12,22.07,5.58,380,654,35.71,61.47,508,132,243,48.43,12.58,23.16,467,573,44.9,55.1,583,471,55.31,44.69,461,577,44.41,55.59
1670,MINNEAPOLIS W-7 P-06,105.0,53.0,49.0,94.0,27.78,14.02,12.96,24.87,131.0,249.0,81.0,106.0,170.0,16.75,31.84,10.36,13.55,21.74,280.0,112.0,248.0,43.14,17.26,38.21,102.0,335.0,91.0,53.0,50.0,16.16,53.09,14.42,8.4,7.92,350.0,165.0,67.0,54.35,25.62,10.4,523,255,309,53,42.59,20.77,25.16,4.32,400,661,35.97,59.44,585,161,241,44.93,12.37,18.51,577,706,44.97,55.03,801,509,61.15,38.85,672,629,51.65,48.35
1675,MINNEAPOLIS W-7 P-07,201.0,60.0,52.0,147.0,38.43,11.47,9.94,28.11,91.0,175.0,60.0,94.0,219.0,13.94,26.8,9.19,14.4,33.54,166.0,73.0,311.0,30.02,13.2,56.24,57.0,304.0,60.0,82.0,40.0,10.5,55.99,11.05,15.1,7.37,166.0,343.0,32.0,30.02,62.03,5.79,143,150,235,60,22.38,23.47,36.78,9.39,348,298,53.13,45.5,495,161,65,60.29,19.61,7.92,205,609,25.18,74.82,590,238,71.26,28.74,561,265,67.92,32.08
1680,MINNEAPOLIS W-7 P-08,298.0,87.0,114.0,301.0,31.14,9.09,11.91,31.45,210.0,460.0,152.0,143.0,475.0,13.73,30.09,9.94,9.35,31.07,524.0,210.0,611.0,38.44,15.41,44.83,153.0,731.0,189.0,159.0,108.0,11.42,54.55,14.1,11.87,8.06,581.0,578.0,121.0,42.91,42.69,8.94,661,387,521,144,35.33,20.68,27.85,7.7,792,998,43.26,54.51,1040,295,344,53.53,15.18,17.7,750,1177,38.92,61.08,1192,754,61.25,38.75,1015,910,52.73,47.27
1685,MINNEAPOLIS W-7 P-09,377.0,98.0,74.0,240.0,42.22,10.97,8.29,26.88,237.0,244.0,115.0,212.0,308.0,20.72,21.33,10.05,18.53,26.92,463.0,121.0,492.0,42.63,11.14,45.3,132.0,573.0,153.0,141.0,60.0,12.46,54.11,14.45,13.31,5.67,535.0,428.0,93.0,49.35,39.48,8.58,547,376,423,95,35.94,24.7,27.79,6.24,639,793,43.95,54.54,742,305,307,47.78,19.64,19.77,617,928,39.94,60.06,918,642,58.85,41.15,827,715,53.63,46.37
1690,MINNEAPOLIS W-7 P-10,61.0,21.0,13.0,41.0,33.33,11.48,7.1,22.4,35.0,65.0,58.0,74.0,56.0,11.59,21.52,19.21,24.5,18.54,175.0,44.0,83.0,56.63,14.24,26.86,38.0,167.0,59.0,20.0,15.0,12.71,55.85,19.73,6.69,5.02,197.0,54.0,34.0,64.17,17.59,11.07,233,106,73,10,54.19,24.65,16.98,2.33,69,273,19.77,78.22,102,65,159,27.95,17.81,43.56,235,127,64.92,35.08,122,248,32.97,67.03,86,279,23.56,76.44
1700,MINNEAPOLIS W-8 P-01,200.0,11.0,25.0,37.0,51.02,2.81,6.38,9.44,180.0,45.0,60.0,64.0,45.0,40.91,10.23,13.64,14.55,10.23,228.0,58.0,89.0,58.16,14.8,22.7,46.0,292.0,44.0,11.0,25.0,11.0,69.86,10.53,2.63,5.98,267.0,51.0,27.0,55.39,10.58,5.6,282,79,159,27,48.04,13.46,27.09,4.6,80,439,14.79,81.15,137,41,111,21.78,6.52,17.65,213,394,35.09,64.91,394,225,63.65,36.35,111,500,18.17,81.83
1705,MINNEAPOLIS W-8 P-02,362.0,33.0,70.0,133.0,52.01,4.74,10.06,19.11,248.0,203.0,229.0,277.0,169.0,21.4,17.52,19.76,23.9,14.58,644.0,103.0,383.0,56.69,9.07,33.71,137.0,647.0,196.0,74.0,43.0,12.49,58.98,17.87,6.75,3.92,732.0,229.0,122.0,64.38,20.14,10.73,883,456,197,35,54.88,28.34,12.24,2.18,312,1143,21.14,77.44,458,321,617,29.17,20.45,39.3,948,611,60.81,39.19,562,1010,35.75,64.25,472,1097,30.08,69.92
1710,MINNEAPOLIS W-8 P-03,124.0,17.0,58.0,58.0,37.8,5.18,17.68,17.68,82.0,61.0,155.0,162.0,44.0,15.33,11.4,28.97,30.28,8.22,342.0,66.0,120.0,63.57,12.27,22.3,42.0,372.0,81.0,20.0,23.0,7.81,69.14,15.06,3.72,4.28,346.0,60.0,73.0,64.43,11.17,13.59,396,178,112,17,55.08,24.76,15.58,2.36,118,566,16.91,81.09,241,135,292,30.82,17.26,37.34,511,254,66.8,33.2,287,494,36.75,63.25,218,554,28.24,71.76
1715,MINNEAPOLIS W-8 P-04,181.0,30.0,72.0,112.0,38.03,6.3,15.13,23.53,143.0,125.0,173.0,125.0,105.0,20.0,17.48,24.2,17.48,14.69,365.0,75.0,209.0,55.14,11.33,31.57,59.0,455.0,95.0,30.0,12.0,9.06,69.89,14.59,4.61,1.84,374.0,96.0,100.0,56.84,14.59,15.2,347,225,185,31,42.01,27.24,22.4,3.75,189,591,23.33,72.96,363,165,286,38.7,17.59,30.49,522,403,56.43,43.57,428,507,45.78,54.22,365,566,39.21,60.79
1720,MINNEAPOLIS W-8 P-05,327.0,71.0,103.0,234.0,37.16,8.07,11.7,26.59,237.0,244.0,217.0,154.0,230.0,20.86,21.48,19.1,13.56,20.25,453.0,175.0,419.0,42.78,16.52,39.57,113.0,681.0,120.0,81.0,42.0,10.9,65.67,11.57,7.81,4.05,578.0,252.0,135.0,55.15,24.05,12.88,477,396,396,63,34.52,28.65,28.65,4.56,458,883,33.09,63.8,801,336,304,47.88,20.08,18.17,711,950,42.81,57.19,986,693,58.73,41.27,847,821,50.78,49.22
1725,MINNEAPOLIS W-8 P-06,509.0,49.0,95.0,169.0,53.92,5.19,10.06,17.9,338.0,218.0,226.0,287.0,158.0,26.51,17.1,17.73,22.51,12.39,611.0,100.0,394.0,55.09,9.02,35.53,116.0,668.0,169.0,103.0,32.0,10.66,61.4,15.53,9.47,2.94,712.0,243.0,120.0,64.26,21.93,10.83,628,480,283,35,42.52,32.5,19.16,2.37,331,1068,23.18,74.79,536,416,504,32.98,25.6,31.02,902,706,56.09,43.91,674,949,41.53,58.47,621,1000,38.31,61.69
1730,MINNEAPOLIS W-8 P-07,601.0,95.0,105.0,256.0,48.12,7.61,8.41,20.5,358.0,362.0,203.0,328.0,321.0,21.86,22.1,12.39,20.02,19.6,772.0,149.0,575.0,51.19,9.88,38.13,137.0,941.0,199.0,128.0,68.0,9.3,63.88,13.51,8.69,4.62,891.0,400.0,160.0,59.56,26.74,10.7,604,631,477,55,33.04,34.52,26.09,3.01,602,1261,31.49,65.95,858,601,448,39.98,28.01,20.88,1004,1127,47.11,52.89,1165,988,54.11,45.89,1038,1107,48.39,51.61
1735,MINNEAPOLIS W-8 P-08,519.0,73.0,100.0,194.0,48.82,6.87,9.41,18.25,293.0,229.0,280.0,309.0,180.0,21.69,16.95,20.73,22.87,13.32,639.0,166.0,409.0,51.82,13.46,33.17,103.0,820.0,182.0,56.0,44.0,8.55,68.05,15.1,4.65,3.65,683.0,166.0,321.0,55.8,13.56,26.23,686,528,319,40,42.24,32.51,19.64,2.46,392,1155,24.86,73.24,604,450,559,32.49,24.21,30.07,1041,806,56.36,43.64,812,1055,43.49,56.51,684,1170,36.89,63.11
1750,MINNEAPOLIS W-9 P-01,321.0,27.0,73.0,133.0,44.28,3.72,10.07,18.34,75.0,87.0,105.0,172.0,34.0,15.12,17.54,21.17,34.68,6.85,268.0,47.0,122.0,59.96,10.51,27.29,44.0,295.0,73.0,11.0,14.0,10.07,67.51,16.7,2.52,3.2,281.0,43.0,73.0,62.72,9.6,16.29,387,141,84,12,60.37,22.0,13.1,1.87,115,501,18.25,79.52,182,87,287,27.79,13.28,43.82,417,218,65.67,34.33,214,435,32.97,67.03,153,489,23.83,76.17
1755,MINNEAPOLIS W-9 P-02,568.0,38.0,98.0,175.0,50.76,3.4,8.76,15.64,239.0,126.0,333.0,471.0,110.0,17.74,9.35,24.72,34.97,8.17,849.0,90.0,284.0,68.58,7.27,22.94,101.0,791.0,220.0,66.0,40.0,8.29,64.94,18.06,5.42,3.28,835.0,151.0,223.0,67.12,12.14,17.93,844,497,165,22,54.17,31.9,10.59,1.41,218,1189,15.22,83.03,349,362,753,21.18,21.97,45.69,1132,493,69.66,30.34,495,1156,29.98,70.02,418,1228,25.39,74.61
