tract_geoid,pop2020,frey_votes,opponent_votes,total_votes,n_blocks,year,frey_share,opponent_name
27053000101,3351,178.7525124372068,123.81996022296929,302.5724726601762,57,2017,59.077585897236105,Dehn
27053000102,5178,267.29780718271957,144.21306187007139,411.5108690527911,87,2017,64.95522409844999,Dehn
27053000300,3264,343.73167041065193,266.90250132405026,610.634171734702,48,2017,56.29093266008549,Dehn
27053000601,4760,725.4429936654251,459.46129268494167,1184.9042863503669,107,2017,61.223763136165864,Dehn
27053000603,2955,461.2784549832414,302.45168166047824,763.7301366437194,55,2017,60.39809519765331,Dehn
27053001100,2219,332.75308916480867,276.3724755040728,609.1255646688813,28,2017,54.62799601026303,Dehn
27053001700,2482,245.08256327864962,252.06701209235763,497.14957537100724,42,2017,49.2975505602619,Dehn
27053002200,1695,46.47635145910917,31.38703000172137,77.86338146083055,29,2017,59.68961350912978,Dehn
27053002400,2746,290.91897699990284,289.2889972139101,580.2079742138131,45,2017,50.14046513133512,Dehn
27053002700,2816,134.14827149198084,150.04915261849675,284.1974241104775,31,2017,47.20249379875895,Dehn
27053003200,1844,108.42677231450686,144.05770547183764,252.4844777863446,35,2017,42.94393590653082,Dehn
27053003300,2633,56.847377038864295,38.578788597131634,95.42616563599594,35,2017,59.57210651815266,Dehn
27053003801,3085,247.4257876738867,299.7954736944341,547.2212613683207,32,2017,45.214944144385264,Dehn
27053003802,3462,74.46129153570614,154.13320289239442,228.59449442810055,21,2017,32.57352795044079,Dehn
27053005901,3069,285.1408964056888,101.35143156936873,386.4923279750576,37,2017,73.77659936993379,Dehn
27053005902,3619,225.487008592365,91.06841265992199,316.5554212522869,36,2017,71.23144746671622,Dehn
27053006800,4211,261.103101154764,518.9089886371548,780.0120897919188,23,2017,33.474237716548416,Dehn
27053007700,5710,357.9696746353409,377.40055697367615,735.3702316090171,28,2017,48.67883676119036,Dehn
27053007801,1972,95.85058002433598,166.51495017679727,262.36553020113325,17,2017,36.533221399493875,Dehn
27053008100,3497,418.5140724579961,406.8963292545528,825.4104017125492,31,2017,50.70375556083003,Dehn
27053008200,4277,259.0597693859322,312.1816944407042,571.2414638266363,28,2017,45.35030907079833,Dehn
27053008300,2106,112.99556931877862,173.36151418925436,286.35708350803304,29,2017,39.45967319352476,Dehn
27053008400,2896,116.23141994742193,210.11561479171107,326.34703473913305,28,2017,35.61589583319855,Dehn
27053008500,4069,187.71918653776828,649.3323817986217,837.0515683363899,36,2017,22.42623915165149,Dehn
27053009500,2865,157.07651088190624,242.25225648296902,399.32876736487526,30,2017,39.33513528675535,Dehn
27053009600,3321,306.0463081435354,533.712388837654,839.7586969811892,42,2017,36.44455356565255,Dehn
27053010600,2844,624.2002415882831,235.13975741157276,859.3399989998557,49,2017,72.63716832857305,Dehn
27053010700,2491,618.8203484937304,236.78421274785225,855.604561241583,39,2017,72.32550836285272,Dehn
27053011000,3539,666.5902368817632,467.3849570485243,1133.9751939302873,57,2017,58.783493717477455,Dehn
27053011703,4274,882.5701468182533,487.555011775855,1370.1251585941084,75,2017,64.41529383518967,Dehn
27053011704,3379,602.1853060321805,236.7027661750939,838.8880722072743,62,2017,71.78374874823483,Dehn
27053011800,4721,742.4673328481379,416.74590300558197,1159.2132358537199,90,2017,64.04924563351251,Dehn
