GEOID,tract_geoid,pop2020,frey_votes,opponent_votes,total_votes,year,opponent_name,frey_share
270530001011000,27053000101,69,3.6805821460004404,2.549677017341087,6.230259163341527,2017,Dehn,59.07590759075908
270530001011001,27053000101,73,3.893949226928002,2.697484380665208,6.59143360759321,2017,Dehn,59.07590759075908
270530001011002,27053000101,83,4.427366929246907,3.0670027889755107,7.494369718222417,2017,Dehn,59.07590759075908
270530001011003,27053000101,80,4.267341618551235,2.95614726648242,7.223488885033656,2017,Dehn,59.07590759075907
270530001011004,27053000101,54,2.8804555925220843,1.9953994048756338,4.875854997397718,2017,Dehn,59.07590759075908
270530001011005,27053000101,65,3.4672150650728786,2.4018696540169664,5.869084719089845,2017,Dehn,59.07590759075907
270530001011006,27053000101,94,5.014126401797701,3.4734730381168433,8.487599439914545,2017,Dehn,59.07590759075907
270530001011007,27053000101,71,3.787265686464221,2.623580699003148,6.4108463854673685,2017,Dehn,59.07590759075908
270530001011008,27053000101,49,2.6137467413626316,1.8106402007204823,4.424386942083114,2017,Dehn,59.07590759075908
270530001011009,27053000101,38,2.027170713526375,1.4043047417401573,3.4314754552665323,2017,Dehn,59.07577483659777
270530001011010,27053000101,111,5.92093649573984,4.101654332244358,10.022590827984198,2017,Dehn,59.07590759075908
270530001011011,27053000101,75,4.000632767391783,2.771388062327269,6.772020829719052,2017,Dehn,59.07590759075908
270530001011012,27053000101,80,4.267341618551235,2.95614726648242,7.223488885033656,2017,Dehn,59.07590759075907
270530001011013,27053000101,45,2.40037966043507,1.6628328373963612,4.063212497831431,2017,Dehn,59.07590759075907
270530001011014,27053000101,70,3.7318156990156486,2.5754745859621164,6.307290284977764,2017,Dehn,59.16670282171427
270530001012001,27053000101,126,6.721063049218196,4.6559319447098115,11.376994993928008,2017,Dehn,59.07590759075907
270530001012002,27053000101,84,4.4807086994787975,3.103954629806541,7.5846633292853385,2017,Dehn,59.07590759075908
270530001012003,27053000101,80,4.267341618551235,2.95614726648242,7.223488885033656,2017,Dehn,59.07590759075907
270530001012004,27053000101,82,4.374025159015017,3.0300509481444804,7.404076107159497,2017,Dehn,59.07590759075908
270530001012005,27053000101,83,4.427366929246907,3.0670027889755107,7.494369718222417,2017,Dehn,59.07590759075908
270530001012006,27053000101,79,4.213999848319345,2.91919542565139,7.133195273970735,2017,Dehn,59.07590759075907
270530001012007,27053000101,84,4.4807086994787975,3.103954629806541,7.5846633292853385,2017,Dehn,59.07590759075908
270530001012008,27053000101,86,4.587392239942578,3.1778583114686016,7.76525055141118,2017,Dehn,59.07590759075908
270530001012009,27053000101,108,5.7609111850441685,3.9907988097512677,9.751709994795435,2017,Dehn,59.07590759075908
270530001013004,27053000101,74,3.9488443393029065,2.7357869712401213,6.684631310543027,2017,Dehn,59.07347998497349
270530001013005,27053000101,83,4.427366929246907,3.0670027889755107,7.494369718222417,2017,Dehn,59.07590759075908
270530001013006,27053000101,77,4.107316307855564,2.8452917439893293,6.952608051844893,2017,Dehn,59.07590759075908
270530001013007,27053000101,77,4.107316307855564,2.8452917439893293,6.952608051844893,2017,Dehn,59.07590759075908
270530001013008,27053000101,46,2.45372143066696,1.6997846782273915,4.1535061088943515,2017,Dehn,59.07590759075908
270530001013009,27053000101,56,2.987139132985865,2.069303086537694,5.056442219523559,2017,Dehn,59.07590759075908
270530001013010,27053000101,66,3.520556835304769,2.4388214948479967,5.959378330152766,2017,Dehn,59.07590759075907
270530001013011,27053000101,57,3.0404809032177553,2.1062549273687243,5.14673583058648,2017,Dehn,59.07590759075907
270530001013012,27053000101,58,3.0938226734496457,2.1432067681997546,5.2370294416494,2017,Dehn,59.07590759075908
270530001013013,27053000101,59,3.147172006711131,2.1801651856631996,5.327337192374331,2017,Dehn,59.07589275963352
270530001013014,27053000101,60,3.2005318962387026,2.2171327826070155,5.417664678845719,2017,Dehn,59.075858067328824
270530001013015,27053000101,64,3.4145445466034765,2.365501517909548,5.780046064513024,2017,Dehn,59.074694362166056
270530001014000,27053000101,19,1.0144093365596252,0.702881248816194,1.7172905853758194,2017,Dehn,59.070337029631325
270530001014001,27053000101,73,3.893949226928002,2.697484380665208,6.59143360759321,2017,Dehn,59.07590759075908
270530001014002,27053000101,49,2.6148433452854127,1.8115937816649634,4.426437126950376,2017,Dehn,59.07331947323799
270530001014003,27053000101,88,4.694077652934151,3.2517636214367296,7.945841274370881,2017,Dehn,59.075905128822356
270530001014004,27053000101,61,3.2541229236721616,2.2543013716301252,5.508424295302286,2017,Dehn,59.07538615802261
270530001014005,27053000101,45,2.4004910194468003,1.6629296725702798,4.06342069201708,2017,Dehn,59.075621290277915
270530001014006,27053000101,68,3.62724037576855,2.512725176510057,6.139965552278607,2017,Dehn,59.07590759075908
270530001014007,27053000101,61,3.253847984145317,2.254062290692845,5.507910274838163,2017,Dehn,59.07590759075907
270530001014008,27053000101,88,4.69410887261276,3.2517907693339736,7.945899641946734,2017,Dehn,59.07586408255604
270530001014009,27053000101,72,3.8410889949294975,2.6609512741409382,6.502040269070435,2017,Dehn,59.07513389606612
270530001014010,27053000101,81,4.32167560458419,2.993961914805793,7.315637519389983,2017,Dehn,59.07449068013083
270530001021003,27053000102,16,0.8258275154040845,0.4454695298311038,1.2712970452351882,2017,Dehn,64.95944582733672
270530001021004,27053000102,31,1.6002056226250534,0.8630322459101412,2.4632378685351943,2017,Dehn,64.96350364963504
270530001021005,27053000102,62,3.200411245250107,1.7260644918202823,4.926475737070389,2017,Dehn,64.96350364963504
