tract_geoid,pop2020,frey_votes_2017,frey_votes_2021,frey_votes_2025,opponent_votes_2017,opponent_votes_2021,opponent_votes_2025,total_votes_2017,total_votes_2021,total_votes_2025,frey_share_2017,frey_share_2021,frey_share_2025
27053000101,3351,178.7525124372068,438.37422508624707,384.8314230428943,123.81996022296929,143.80843535039753,207.90892465694023,302.5724726601762,582.1826604366445,592.7403476998344,59.077585897236105,75.29839943317116,64.92411467116361
27053000102,5178,267.29780718271957,604.7186404817481,547.2733053355001,144.21306187007139,229.2385424950907,315.1843778913057,411.5108690527911,833.957182976839,862.4576832268057,64.95522409844999,72.51195299058209,63.45509072258799
27053000300,3264,343.73167041065193,695.8884607561932,654.9910676260725,266.90250132405026,366.97852579829697,465.3036494999795,610.634171734702,1062.8669865544905,1120.2947171260514,56.29093266008549,65.47277030515961,58.46596057387061
27053000601,4760,725.4429936654251,1012.4368133344509,1091.8765640966747,459.46129268494167,840.4112269629366,897.203692110677,1184.9042863503669,1852.8480402973876,1989.080256207352,61.223763136165864,54.6421936022315,54.893539900626905
27053000603,2955,461.2784549832414,644.0682690104351,709.7787948309455,302.45168166047824,548.2471793555999,569.1072883523756,763.7301366437194,1192.3154483660348,1278.8860831833208,60.39809519765331,54.01827762049673,55.49976688026895
27053001100,2219,332.75308916480867,456.8124655671478,494.95455865421894,276.3724755040728,444.1663723735969,423.28925392617464,609.1255646688813,900.9788379407446,918.2438125803935,54.62799601026303,50.70179745966368,53.902302620839606
27053001700,2482,245.08256327864962,307.4484541770331,276.49125132691694,252.06701209235763,404.9644919585641,536.4726731515237,497.14957537100724,712.412946135597,812.9639244784405,49.2975505602619,43.15593306448911,34.010273150103274
27053002200,1695,46.47635145910917,106.53545275382353,85.50533038599916,31.38703000172137,35.91572503731589,77.63604336278742,77.86338146083055,142.45117779113943,163.14137374878663,59.68961350912978,74.78734427175098,52.41179991389836
27053002400,2746,290.91897699990284,349.5605586306783,382.54477559558046,289.2889972139101,469.4361207486843,571.9060106004996,580.2079742138131,818.9966793793627,954.45078619608,50.14046513133512,42.68155994180294,40.080094346215084
27053002700,2816,134.14827149198084,382.66150584644345,287.12393463308075,150.04915261849675,148.27265599111124,233.24281804304917,284.1974241104775,530.9341618375546,520.36675267613,47.20249379875895,72.07325000939065,55.17722513140328
27053003200,1844,108.42677231450686,277.02780694731143,203.00558931322925,144.05770547183764,114.42215965649235,110.39141101743064,252.4844777863446,391.4499666038037,313.39700033065986,42.94393590653082,70.7696591088736,64.77585589493246
27053003300,2633,56.847377038864295,189.73520051151246,241.40709190860258,38.578788597131634,57.59072973538778,178.0000090902081,95.42616563599594,247.32593024690024,419.4071009988108,59.57210651815266,76.71464141349992,57.559133198673976
27053003801,3085,247.4257876738867,258.42928501575705,174.10831788493746,299.7954736944341,411.95440399134156,492.09624923609033,547.2212613683207,670.3836890070986,666.2045671210278,45.214944144385264,38.54945895215845,26.134362698433378
27053003802,3462,74.46129153570614,68.5492933900198,118.78996907668571,154.13320289239442,177.1718717519017,307.1328538810227,228.59449442810055,245.7211651419215,425.9228229577083,32.57352795044079,27.897187183866595,27.89002201191761
27053005901,3069,285.1408964056888,291.2907109667462,273.84299724832715,101.35143156936873,127.0166219754337,296.1545166285613,386.4923279750576,418.3073329421799,569.9975138768885,73.77659936993379,69.63557366253714,48.04284064078802
27053005902,3619,225.487008592365,173.37475893490827,127.16355259838052,91.06841265992199,93.72274947854493,427.1573646029458,316.5554212522869,267.0975084134533,554.3209172013263,71.23144746671622,64.91066126552293,22.940421090441262
27053006800,4211,261.103101154764,309.90730034812805,318.2051402050563,518.9089886371548,674.025257185498,872.8671676198452,780.0120897919188,983.9325575336261,1191.0723078249014,33.474237716548416,31.496803106602854,26.71585411855914
27053007700,5710,357.9696746353409,497.4413445138452,425.160304522331,377.40055697367615,763.9273786671984,1138.8480068647905,735.3702316090171,1261.3687231810438,1564.008311387121,48.67883676119036,39.43663223703127,27.184018232310788
27053007801,1972,95.85058002433598,125.50369728855019,102.63955836671705,166.51495017679727,245.3092725271974,318.84247766128834,262.36553020113325,370.8129698157477,421.48203602800544,36.533221399493875,33.845552206793464,24.35206001517397
27053008100,3497,418.5140724579961,562.5254203361136,515.7496749345418,406.8963292545528,741.9241857751438,995.926131902716,825.4104017125492,1304.4496061112575,1511.675806837258,50.70375556083003,43.12358390088205,34.11774354010454
27053008200,4277,259.0597693859322,364.8542600060213,523.7984520129497,312.1816944407042,479.84473199509375,769.8342377160092,571.2414638266363,844.6989920011151,1293.6326897289591,45.35030907079833,43.19340539778218,40.49050833144109
27053008300,2106,112.99556931877862,164.76756713152446,157.92869545858312,173.36151418925436,241.54788912109044,288.89071706919856,286.35708350803304,406.31545625261487,446.8194125277817,39.45967319352476,40.55163656611798,35.34508372524295
27053008400,2896,116.23141994742193,183.7281336667524,169.6580823969258,210.11561479171107,256.69507593361504,407.410788847793,326.34703473913305,440.4232096003676,577.0688712447189,35.61589583319855,41.7162696383472,29.399971277428083
27053008500,4069,187.71918653776828,326.00321859289016,271.5321063115429,649.3323817986217,774.8530311063685,797.2585601766684,837.0515683363899,1100.8562496992588,1068.790666488211,22.42623915165149,29.613604744665846,25.405546177132337
27053009500,2865,157.07651088190624,282.97348537605944,273.11704746961396,242.25225648296902,357.5841641205943,516.8949687246384,399.32876736487526,640.5576494966538,790.012016194252,39.33513528675535,44.176115233097015,34.571252319086064
