Statistic,Value
Pseudo R-squared,0.8713596170339966
AIC,790.7036340702307
BIC,838.2320733453753
Log-likelihood,-378.35181703511535
Lambda,0.9173352172022056
Lambda Std Error,0.033631238902245696
Lambda z-value,27.276283810673156
Lambda p-value,0
