Statistic,Value
R-squared,0.550450630467314
Adjusted R-squared,0.491076185434695
F-statistic,9.27083411331103
F p-value,5.44299921485123e-13
AIC,897.374747783659
BIC,942.107396513207
Residual SE,9.2365265676384
Moran's I,0.466678603638672
Moran's I p-value,< 2.2e-16
